Price,Car,Mileage,Ext_color,Int_color,Transmission,Drivetrain
2500,2012 Volkswagen CC Sport,114224.0,Beige,Black,Automanual,4x2/2-wheel drive
9995,2015 Chevrolet Cruze 1LT,43355.0,Blue,Black,Automatic,FWD
9995,2016 Hyundai Sonata SE,45132.0,Gray,Gray,Automatic,FWD
9995,2011 Buick Enclave CXL,103580.0,Brown,Othe,Automatic,FWD
7489,2013 Hyundai Sonata GLS,59809.0,Black,Beige,Automatic,FWD
9993,2017 Ford Focus SE,37069.0,Silve,Gray,Automatic,FWD
9500,2016 Mazda Mazda3 i Sport,47351.0,Blue,Black,Automatic,FWD
8500,2017 Nissan Altima 2.5 SV,69842.0,Red,Othe,CVT,FWD
8994,2017 Kia Forte LX,23694.0,Othe,Othe,Automatic,FWD
4995,2015 Kia Rio LX,110462.0,Black,Beige,Automatic,FWD
9900,2010 Toyota Matrix Base,63018.0,Silve,Gray,Automatic,FWD
4995,2012 Jeep Compass Sport,168739.0,White,Gray,CVT,FWD
9490,2016 Chevrolet Cruze Limited LS,79437.0,White,Black,Automatic,FWD
6287,2014 Nissan Sentra SV,110236.0,Black,Gray,CVT,FWD
7900,2011 BMW 328 i xDrive,80000.0,White,Beige,Automanual,AWD
9990,2010 Buick Enclave 1XL,101415.0,White,Beige,Automatic,FWD
6680,2012 Jeep Compass Sport,112984.0,Gray,Gray,Manual,FWD
9990,2013 Dodge Dart SE,57734.0,Gray,Black,Automatic,FWD
8798,2015 Hyundai Veloster Base,76977.0,Black,Black,Automatic,FWD
9888,2017 Nissan Altima 2.5 S,51512.0,White,Gray,Automatic,FWD
6511,2012 Ford Fiesta SES,93246.0,Red,Black,Automatic,FWD
9800,2011 BMW 750 Li,91206.0,Black,Beige,Automatic,4x2/2-wheel drive
7150,2013 Cadillac ATS 2.0L Turbo,91168.0,Blue,Black,Automatic,RWD
4950,2014 Volkswagen Beetle Auto 1.8T Entry PZEV,96591.0,Black,Black,Automatic,FWD
7990,2012 Volkswagen Jetta SE,74909.0,Red,Black,Automatic,FWD
7625,2013 Ford Escape SE,79759.0,White,Beige,Automatic,FWD
7997,2017 Kia Forte LX,59087.0,Othe,Othe,Automatic,FWD
9999,2016 Nissan Altima 2.5 S,67211.0,Blue,Gray,CVT,FWD
9174,2017 Kia Forte S,38279.0,Blue,Black,Automatic,FWD
6691,2016 Toyota Corolla S Plus,95000.0,Othe,Othe,Automatic,FWD
9991,2017 Hyundai Sonata SE,42000.0,White,Gray,Automatic,FWD
9391,2017 Kia Soul +,53544.0,Black,Gray,Automatic,FWD
6777,2016 Ford Fiesta SE,56145.0,Black,Gray,Automatic,FWD
9977,2016 MINI Countryman Cooper S,48681.0,White,Black,Automatic,FWD
6995,2015 Nissan Sentra SV,81908.0,Black,Gray,CVT,FWD
7695,2016 Hyundai Elantra SE,45580.0,Silve,Gray,Manual,FWD
9277,2014 Dodge Journey SE,49875.0,Silve,Black,Automatic,FWD
7900,2010 Ford F-150 XL SuperCab,189324.0,Gray,Gray,Automatic,RWD
9499,2015 Acura ILX 2.0L Technology,46959.0,Black,Black,Automatic,FWD
8990,2013 Ford Escape Titanium,90021.0,White,Black,Automatic,FWD
8199,2014 GMC Terrain SLE-2,94717.0,Beige,Gray,Automatic,FWD
9000,2012 Hyundai Elantra Limited,86991.0,Black,Gray,Automanual,FWD
9995,2017 Hyundai Elantra SE,25074.0,Blue,Gray,Automatic,FWD
7300,2014 Hyundai Sonata GLS,83486.0,Blue,Beige,Automatic,FWD
7995,2019 Kia Soul +,7898.0,Gray,Black,Automatic,FWD
2600,2012 Nissan Sentra 2.0 S,95780.0,Gray,Gray,CVT,FWD
5995,2016 Nissan Sentra SR,73641.0,Silve,Gray,CVT,FWD
8950,2016 Ford Transit-150 150 129.9 IN. WB,16772.0,White,Gray,Automatic,RWD
7800,2017 GMC Terrain SLT,61887.0,Black,Black,Automatic,AWD
7491,2018 Nissan Sentra S,59890.0,White,Othe,Automatic,FWD
9791,2019 Nissan Sentra S,39040.0,Gray,Gray,Automatic,FWD
7991,2017 Toyota Yaris L,40243.0,Gray,Gray,Automatic,FWD
5290,2012 Hyundai Veloster Base,89572.0,White,Black,Automatic,FWD
9591,2019 Nissan Sentra S,36907.0,Gray,Gray,Automatic,FWD
9991,2017 Honda Civic LX,72468.0,Black,Black,CVT,FWD
8991,2019 Nissan Versa 1.6 SV,37527.0,Black,Gray,Automatic,FWD
6899,2016 Nissan Sentra SV,75713.0,White,Othe,CVT,FWD
6791,2017 Hyundai Elantra Eco,73129.0,Black,Gray,Automatic,FWD
9091,2019 Nissan Sentra SV,39150.0,Gray,Othe,Automatic,FWD
6991,2015 Mitsubishi Outlander Sport ES,92266.0,White,Black,Automatic,FWD
5950,2012 Audi A4 2.0T Premium,77000.0,Gray,Black,Automatic,FWD
7990,2011 Nissan Rogue SV,35816.0,Gray,Gray,CVT,FWD
8995,2016 Nissan Sentra S,66134.0,White,Gray,CVT,FWD
8998,2013 smart ForTwo Passion,37163.0,White,Black,Automatic,RWD
8999,2015 Kia Optima EX,50904.0,White,Gray,Automatic,FWD
6990,2012 Buick Enclave Leather,108097.0,Silve,Othe,Automatic,FWD
8294,2017 Hyundai Accent SE,69432.0,Silve,Black,Automatic,FWD
9861,2014 Chevrolet Malibu 1LT,66261.0,Black,Brow,Automatic,FWD
9198,2016 Hyundai Sonata 2.4,67987.0,Silve,Gray,Automatic,FWD
8490,2015 Dodge Journey SE,80987.0,Gray,Black,Automatic,FWD
